Glyph Code: 1d7e895a0e2298ef560bfac44e1536bd, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (68.18404000000001, 586.15), Page: 0
Glyph Code: c1def3c33a200096911b2021a4de7c91, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (70.584, 586.15), Page: 0
Glyph Code: 53f60150d6941090bafe4ba1c5fc677f, Text: N, Unicode: 78, Font Size: 11.039999999999964, Position: (73.224, 586.15), Page: 0
Glyph Code: 25c54b1dada92b32b2039002aa2a674b, Text: o, Unicode: 111, Font Size: 11.039999999999964, Position: (80.42208000000001, 586.15), Page: 0
Glyph Code: 049861e7b18264dcd283bede4148409d, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (86.40576, 586.15), Page: 0
Glyph Code: 404c61195bd371df4e708555ca90fbd8, Text: e, Unicode: 101, Font Size: 11.039999999999964, Position: (90.23664, 586.15), Page: 0
Glyph Code: f6456997b26d8c503ef4eb5983676164, Text: :, Unicode: 58, Font Size: 11.039999999999964, Position: (95.78976, 586.15), Page: 0
Glyph Code: 69bbbf5077b39a0d94797ee50bf79050, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (98.928, 586.15), Page: 0
Glyph Code: 2ad32467c1a40377c7e9c6c24db549c4, Text: I, Unicode: 73, Font Size: 11.039999999999964, Position: (101.33, 586.15), Page: 0
Glyph Code: 54bb662b10fdaacefa10af0bfb2a8b91, Text: f, Unicode: 102, Font Size: 11.039999999999964, Position: (104.2004, 586.15), Page: 0
Glyph Code: 63c8824cd8befcb98928eb0dd32e261f, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (107.5676, 586.15), Page: 0
Glyph Code: d87cb3e299115f7a26f8a468ebea6ca3, Text: y, Unicode: 121, Font Size: 11.039999999999964, Position: (109.97, 586.15), Page: 0
Glyph Code: 329b2f04125768327d23d49fa93f2b9b, Text: o, Unicode: 111, Font Size: 11.039999999999964, Position: (115.00424, 586.15), Page: 0
Glyph Code: 6c01824e087e2c52af732603599fbe4a, Text: u, Unicode: 117, Font Size: 11.039999999999964, Position: (120.76712, 586.15), Page: 0
Glyph Code: d4b9aa2a1c2e616303aab79cb722a427, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (126.53, 586.15), Page: 0
Glyph Code: 8b51bced63790ec51bd6c4a109e5cbee, Text: a, Unicode: 97, Font Size: 11.039999999999964, Position: (128.92568, 586.15), Page: 0
Glyph Code: cd6c15015e09e599d0fbce7a881f9b83, Text: r, Unicode: 114, Font Size: 11.039999999999964, Position: (134.21384, 586.15), Page: 0
Glyph Code: f6e00c0192ac6e3d43f4a36339722859, Text: e, Unicode: 101, Font Size: 11.039999999999964, Position: (138.0668, 586.15), Page: 0
Glyph Code: 3f175a52899ef4f2017a1f61b122be70, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (143.56472, 586.15), Page: 0
Glyph Code: c370586cb491cc57c618ffe7f9e6af91, Text: u, Unicode: 117, Font Size: 11.039999999999964, Position: (145.9604, 586.15), Page: 0
Glyph Code: d17f825aa2a1ffc49220e8ee43e53ce0, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (151.72328, 586.15), Page: 0
Glyph Code: b2835db14cc28156bc8857b1576b1fce, Text: a, Unicode: 97, Font Size: 11.039999999999964, Position: (157.48616, 586.15), Page: 0
Glyph Code: 10379eec49811b506b9323c4f7b99211, Text: b, Unicode: 98, Font Size: 11.039999999999964, Position: (162.77432, 586.15), Page: 0
